date,stock_name,stock_code,end_date,br_pr_D1,tr_pr_D0,tr_hpr_D0,Volume_D10,Volume_D9,Volume_D8,Volume_D7,Volume_D6,Volume_D5,Volume_D4,Volume_D3,Volume_D2,Volume_D1,tr_vol_D0,lpr_D10,lpr_D9,lpr_D8,lpr_D7,lpr_D6,lpr_D5,lpr_D4,lpr_D3,lpr_D2,lpr_D1,gap_change,mean_vlome,today_vlome,vlome_change,slope,day_change,deter_change
2019-11-25,예림당,036000,20191125,3630,3855,3865,49764,373276,84297,119868,82326,42960,76348,109668,166307,138132,195927,3955,4005,4050,3970,3970,3980,3940,3840,3665,3600,0.06198347107438,110867.9,195927,0.7672112487022846,-0.0165056311157609,10,1
2019-11-25,옴니시스템,057540,20191125,1740,1785,2260,203767,165645,225435,128619,125449,163127,218120,336689,255147,429960,45109959,1770,1765,1775,1800,1780,1780,1780,1715,1695,1710,0.0258620689655173,182425.8,45109959,246.2783948323099,-0.0588484335309054,475,1
2019-11-26,남화토건,091590,20191126,14300,14600,16450,4566836,2260593,603103,769588,410980,2392826,695301,1055606,633643,544451,2755124,12100,12400,12800,12750,12650,12800,13100,13700,13550,13900,0.020979020979021,1340492.6,2755124,1.0553071311247817,0.0049239621866008,1850,1
2019-11-26,캐리소프트,317530,20191126,10250,10450,11300,5656398,767780,827762,235919,367783,2945911,548477,597187,1784052,567834,1554619,9760,9490,9460,9340,9390,9540,9710,9630,9950,10200,0.0195121951219512,1374256.9,1554619,0.1312433650505957,0.0071902911719633,850,1
2019-11-26,윙입푸드,900340,20191126,2345,2460,2510,3956278,2286618,1690261,10839290,4310433,1711538,2338188,1540977,707329,3528777,8113750,2250,2250,2160,2200,2285,2265,2185,2170,2115,2180,0.0490405117270789,2938342.2,8113750,1.7613359669272013,-0.0300680786686836,50,1
2019-11-27,제이웨이,058420,20191127,1540,1690,1775,112809,247106,1032103,295190,249735,119287,1264919,1524747,419474,1387077,4345508,1035,1030,1080,1135,1120,1160,1170,1270,1330,1290,0.0974025974025973,526714.5,4345508,7.2502152494377885,0.027696498839673,85,1
2019-11-27,케이엠제약,225430,20191127,2860,3000,3580,129808,185073,165644,88558,134449,356383,280722,179816,157076,17816322,37193689,2360,2355,2350,2350,2320,2195,2110,2110,2185,2235,0.0489510489510489,168110.9,37193689,220.2449579414541,-0.0231397940770618,580,1
2019-11-27,나노엔텍,039860,20191127,5190,5270,6740,817158,182217,89318,147942,100259,136230,94576,3535728,1649098,728321,16750622,4915,5000,5010,5010,4935,4775,4665,4675,5230,5090,0.0154142581888245,675926.6,16750622,23.781717423164,0.0005378685039572,1470,1
2019-11-28,제이웨이,058420,20191128,1585,1620,2020,247106,1032103,295190,249735,119287,1264919,1524747,419474,1387077,4345508,8011292,1030,1080,1135,1120,1160,1170,1270,1330,1290,1525,0.0220820189274448,654165.8,8011292,11.246577243873036,0.0192932788088497,400,1
2019-11-28,옴니시스템,057540,20191128,2180,2220,2340,128619,125449,163127,218120,336689,255147,429960,45109959,28618949,18810550,12784889,1800,1780,1780,1780,1715,1695,1710,1775,2160,2085,0.0183486238532109,7538835.9,12784889,0.695870445992862,0.0107501297802388,120,1
2019-11-28,신신제약,002800,20191128,6910,7140,7510,321831,207425,86108,114324,164307,173128,80202,58895,52994,667888,1482129,6980,6860,6900,6710,6200,6200,6250,6350,6500,6530,0.0332850940665701,126672.4,1482129,10.700488819979729,-0.0066298205611182,370,1
2019-11-28,SK디스커버리우,006125,20191128,21750,23000,24700,3794,9547,12843,3137,11306,10430,198121,65527,1106296,1264361,1078006,14800,14850,14700,14750,14700,14550,14650,15050,15300,15950,0.0574712643678161,144570.1,1078006,6.456631765489544,0.0046954314720812,1700,1
2019-11-29,한국맥널티,222980,20191129,11000,11600,14200,4477,63470,11997,17025,18839,6321,27154,7366,3340,426861,2753076,8550,8410,8430,8290,8100,8030,7950,8320,8390,8400,0.0545454545454544,17418.9,2753076,157.0510824449305,-0.0045519327535556,2600,1
2019-11-29,세원,234100,20191129,3090,3270,3870,1085139,2981557,690684,708503,498703,306443,206483,157938,7897085,5073959,19161786,2845,2555,2600,2550,2485,2510,2535,2555,2600,3025,0.0582524271844659,1453640.5,19161786,12.181929094573244,0.0031768111583142,600,1
