br_pr_D1,tr_pr_D0,tr_hpr_D0,Volume_D10,Volume_D9,Volume_D8,Volume_D7,Volume_D6,Volume_D5,Volume_D4,Volume_D3,Volume_D2,Volume_D1,tr_vol_D0,lpr_D10,lpr_D9,lpr_D8,lpr_D7,lpr_D6,lpr_D5,lpr_D4,lpr_D3,lpr_D2,lpr_D1
1820,1840,1955,26817,17650,15828,40275,51789,60570,79372,139771,46349,57445,1073374,1745,1750,1745,1730,1755,1760,1790,1745,1750,1760
15600,16500,17900,28553,68221,28801,28206,14878,27727,28039,66223,24590,26528,576352,15750,15950,16000,15800,15800,15500,15550,15100,15300,15150
3650,4000,4745,12423,7008,8477,46290,5884,42575,21005,79220,25437,137679,27105359,3595,3580,3570,3570,3595,3530,3480,3435,3495,3505
1295,1375,1560,76409,74910,151191,63331,63241,81984,78944,11327061,1324335,1250061,15775688,1210,1200,1170,1140,1140,1140,1130,1150,1240,1230
4655,4710,4895,77377,179658,84986,92540,102747,167824,111125,69986,50304,46487,320513,4780,4770,4575,4670,4660,4630,4495,4590,4640,4645
2975,3050,3175,724556,443184,726484,5779379,1689791,906380,888872,972409,995400,2268731,3206780,2900,2850,2825,2835,2750,2620,2605,2635,2755,2790
1170,1220,1340,124845,326697,289873,255839,453828,287033,2541142,1374427,7652376,5312995,3912686,1285,1205,1165,1125,1080,1010,1015,996,1010,1170
1640,1800,1955,251358,321029,374818,223032,385522,444206,20112170,2030538,905065,19031116,20252559,1515,1505,1460,1460,1470,1455,1515,1480,1470,1475
10250,10350,10600,1472741,903344,1919379,3788969,1594733,1496624,1141674,937194,1564045,1079114,1783738,11000,10900,10450,10000,10250,10050,10050,10250,9990,10000
20800,21050,22500,133443,187904,187480,191155,205745,161711,290028,372279,131809,174471,1292991,20850,20300,20550,20300,20700,20750,20950,20350,20300,20500
28900,31500,32500,1545794,464456,1003435,657664,374149,383292,168655,151961,695696,265597,580463,36450,30550,29750,30450,30750,28950,29600,27800,27500,28450
10500,10450,10600,903344,1919379,3788969,1594733,1496624,1141674,937194,1564045,1079114,1783738,1100058,10900,10450,10000,10250,10050,10050,10250,9990,10000,10300
9340,9810,12100,8103026,7054231,3093776,5555734,4572983,2083029,593329,952278,1962202,872864,10971361,9330,9740,10100,9330,9350,8740,8620,8700,9050,9210
29800,30900,37000,2225707,566124,316224,298406,180774,138415,56888,85750,329746,57208,1909492,32400,31650,30000,28750,28750,28250,27850,27900,29050,29350
1850,1905,2150,575085,222639,214694,171952,116333,168485,149481,211396,177462,157008,21324517,1795,1805,1775,1735,1765,1775,1765,1800,1805,1820
8570,8880,9090,2904229,234100,220699,143374,142797,231051,118162,81461,385874,356758,701659,7290,7570,7810,7870,7980,8150,8070,8000,8140,8250
3140,3210,3530,101954,125307,10623,32905,44311,28714,18328,95366,74385,305912,738579,2880,2745,2755,2740,2780,2760,2780,2800,2840,2870
16350,16700,18400,448387,375247,402699,349231,251028,333171,306728,8465379,9592510,17821851,9121196,9990,10100,10350,9980,10300,10550,10700,10750,13700,14050
4800,5060,5440,142142,124301,160923,93453,121781,986335,627241,224838,593981,423057,4838831,4635,4655,4485,4510,4560,4500,4430,4390,4430,4650
9880,10400,11700,6089878,2338007,7680402,5092887,4068424,1411211,936446,937382,1192097,2046755,5323232,8470,8250,8450,8750,9010,8780,9000,8900,9040,9240
1650,1690,1815,424790,29109169,6577061,2271698,2035957,31297786,3546864,2051416,66909520,14490257,11716733,1215,1290,1375,1365,1300,1410,1430,1435,1450,1640
652,681,722,887707,631217,227585,260549,190810,185423,274675,728936,407632,2568838,6432963,596,560,572,580,579,581,583,593,612,614
3035,3090,3450,7549317,5955716,4228181,6938497,3277045,2998035,9868873,4916839,2894696,12044210,31479905,2840,2715,2785,2875,2775,2820,2925,2915,2950,2810
4180,4375,4515,5443593,8459321,5252088,4683057,4577885,3195178,5834540,7304128,3303494,10659495,23726079,3970,3770,3650,3645,3680,3770,3785,3885,3955,3985
5740,5870,6250,0,0,0,0,14241526,17098032,9328178,2065496,1328930,1607449,3465377,0,0,0,0,5810,5700,5950,5900,5610,5620
2470,2810,3070,167025,118188,106063,71877,137751,203395,83085,354444,354916,6937993,31938493,1920,1895,1875,1860,1850,1785,1835,1835,1870,1875
1380,1630,1710,94703,46233,100477,32076,40156,83160,63793,135241,208116,332805,10379635,1280,1300,1295,1295,1290,1305,1315,1325,1340,1335
8640,9250,9740,241420,141065,193920,89327,140448,132123,290963,155696,232931,196152,3239780,8300,8370,8270,8330,8330,8380,8360,8380,8410,8520
6110,6210,6840,79941,81505,45274,41795,97755,87666,58803,236395,121271,151043,1243923,5840,5830,5720,5720,5660,5700,5690,5970,6150,6110
773,830,962,3351916,3194711,2928864,1472236,1428715,932359,784086,4136049,58359564,84223815,188572317,507,494,480,483,484,491,496,491,571,562
8630,9390,9970,5412,5250,18734,8914,9196,4912,3644,12722,5704,1757607,2521872,6770,6740,6600,6590,6530,6570,6600,6560,6580,6550
2025,2080,2500,711840,618048,353737,643602,635396,706499,382958,820762,668898,448921,3759417,1840,1805,1800,1825,1880,1995,2055,1910,1925,1970
1710,1780,1935,98290,75627,101612,160376,167761,121187,148098,256534,174595,13594258,4298336,1470,1495,1520,1550,1540,1550,1555,1560,1590,1635
2890,2945,3540,106063,71877,137751,203395,83085,354444,354916,6937993,31938493,8163183,23571690,1875,1860,1850,1785,1835,1835,1870,1875,2595,2850
15100,15550,18250,93950,19421,22738,41149,39857,41502,13792,9733,12127,13147,4221077,14550,14750,14750,14950,15250,15000,15100,15150,15050,15000
1330,1395,1595,381470,241845,238444,251175,163437,401826,376792,176285,24980842,3425017,30777006,1130,1160,1195,1190,1175,1190,1215,1205,1220,1290
1100,1170,1285,77642,968064,2119834,1652879,826712,307041,452406,463256,308261,390933,17450783,987,1010,1050,1130,1110,1090,1085,1120,1090,1090
1525,1570,1785,3546864,2051416,66909520,14490257,11716733,2705093,2363689,1323895,1376464,1449788,28379294,1430,1435,1450,1640,1650,1605,1565,1545,1510,1485
